σθ,σc,σt,SCF,B1,B2,Wet,MR
53.4,94.7,5.26,0.56,18.0,0.89,2.96,2
54.9,94.7,5.26,0.58,18.0,0.89,2.96,2
44.8,59.0,5.23,0.76,11.2,0.84,0.88,0
48.0,59.0,5.23,0.81,11.2,0.84,0.88,0
53.4,59.0,5.23,0.91,11.2,0.84,0.88,0
54.9,59.0,5.23,0.93,11.2,0.84,0.88,0
12.0,85.0,3.6,0.14,23.6,0.92,1.5,0
21.0,103.0,4.1,0.2,25.12,0.92,2.4,L
28.0,100.0,3.9,0.28,25.64,0.92,2.3,L
47.0,122.0,5.5,0.39,22.18,0.91,3.4,L
52.0,117.0,4.8,0.44,24.38,0.92,3.2,L
42.0,117.0,4.8,0.36,24.38,0.92,3.2,L
32.0,117.0,4.8,0.27,24.38,0.92,3.2,L
24.0,110.0,4.4,0.22,25.0,0.92,3.0,L
20.0,112.0,4.7,0.18,23.83,0.92,2.5,N
32.8,160.0,6.6,0.21,24.3,0.92,4.6,L
44.8,160.0,6.8,0.28,23.6,0.92,4.9,L
50.9,160.0,7.5,0.32,21.3,0.91,5.3,M
44.8,160.0,6.7,0.28,23.8,0.92,4.8,L
22.4,160.0,6.6,0.14,24.1,0.92,4.3,L
20.61,54.23,21.49,0.38,2.52,0.43,3.17,L
48.0,120.0,1.5,0.4,80.0,0.98,5.8,M
49.5,110.0,1.5,0.45,73.3,0.97,5.7,M
63.0,115.0,1.5,0.55,76.6,0.97,5.7,M
17.39,102.3,1.3,0.17,78.69,0.97,6.58,M
17.02,85.09,1.3,0.2,65.4,0.97,6.14,M
16.7,83.5,1.3,0.2,64.23,0.97,6.53,M
17.35,86.77,1.3,0.2,66.75,0.97,3.22,M
16.87,80.33,1.3,0.21,61.77,0.97,6.92,M
17.08,94.9,1.3,0.18,73.0,0.97,6.91,M
61.72,92.4,8.28,0.67,11.16,0.84,5.43,L
126.72,189.7,8.95,0.67,21.2,0.91,5.43,L
57.97,125.37,7.74,0.67,21.26,0.46,2.86,L
57.97,96.16,3.77,0.46,16.2,0.2,2.53,L
57.97,70.68,4.19,0.6,25.51,0.19,2.87,L
98.02320000000002,148.52,6.660089686098655,0.66,22.3,0.9141630901287555,3.23,2
116.8776,162.33,12.297727272727274,0.72,13.2,0.8591549295774646,5.23,3
43.2086,116.78,3.9280188361923982,0.37,29.73,0.9349170191994794,3.52,1
45.9186,109.33,3.3362831858407076,0.42,32.77,0.9407758365413088,2.97,3
27.5968,98.56,2.306576175988767,0.28,42.73,0.9542648067688086,2.17,1
76.79769999999999,156.73,7.785891703924491,0.49,20.13,0.9053478466635118,3.82,2
38.1216,100.32,3.48696558915537,0.38,28.77,0.9328182734296271,3.02,1
102.38399999999999,142.2,5.167151162790697,0.72,27.52,0.9298737727910238,4.3,2
